Breaker
Clutch
Flash
GrandSlam
Grunt
Hawk
RockNRoll
Scarlett
ShortFuze
SnakeEyes
Stalker
Steeler
Zap
Ace
Airborne
CoverGirl
Doc
Duke
GungHo
SnowJob
Torpedo
Tripwire
WildBill
Blowtorch
Cutter
DeepSix
MuttandJunkyard
Recondo
Ripcord
Roadblock
Spirit
Freedom
Thunder
Airtight
Alpine
Barbecue
Bazooka
Crankcase
Dusty
Flint
Footloose
Frostbite
HeavyMetal
KeelHaul
LadyJaye
QuickKick
SgtSlaughter
Shipwreck
Tollbooth
BeachHead
Claymore
CrossCountry
DialTone
TheFridge
Iceberg
Leatherneck
Lifeline
LiftTicket
LowLight
Mainframe
SciFi
SlipStream
WetSuit
Avalanche
BackStop
Blaster
Blocker
Chuckles
Crazylegs
Dodger
FastDraw
Hardtop
Jinx
Knockdown
LawAndOrder
Falcon
Maverick
Mercer
Outback
Payload
PsycheOut
RedDog
Rumbler
SneakPeek
Starduster
SteamRoller
Taurus
TunnelRat
Armadillo
Blizzard
Budo
Charbroil
Ghostrider
Hardball
HitAndRun
Lightfoot
Muskrat
Repeater
Shockwave
Skidmark
Skystriker
Spearhead
StormShadow
SuperTrooper
Wildcard
Windmill
Backblast
Countdown
DeeJay
Dogfight
Downtown
HotSeat
LongRange
Recoil
Scoop
Windchill
Airborne
Airwave
Altitude
Ambush
Bullhorn
CaptGridIron
ColdFront
DropZone
Freefall
MajorStorm
Pathfinder
Rampart
RapidFire
Salvo
Skydive
StaticLine
Stretcher
SubZero
Topside
Updraft
BigBen
CleanSweep
Cloudburst
HeavyDuty
MajorAltitude
Ozone
Skymate
Tracker
Barricade
BulletProof
Dojo
GeneralFlagg
Nunchuk
Banzai
BlastOff
Bushido
ColonelCourage
LongArm
Mirage
RoboJoe
SnowStorm
Gears
IceCreamSoldier
SpaceShot
CodeName
CobraCommander
MajorBludd
ViperPilot
Baroness
Copperhead
Firefly
ScrapIron
StormShadow
WildWeasel
CrimsonGuard
Lamprey
SnowSerpent
TeleVipers
Tomax
Xamot
BattleAndroidTrooper
DoctorMindbender
Serpentor
Viper
BigBoa
CrocMaster
CrystalBall
Golobulus
Raptor
RoyalGuard
SeaSlug
TechnoViper
Decimator
NightCreeper
Overlord
Vapor
Cesspool
Immortal
DesertScorpion
Incinerators
Interrogator
NightVulture
Overkill
SkyCreeper
SludgeViper
CobraAirDevil
Dice
FlakViper
Headhunters
Headman
HeliVipers
NinjaViper
Slice
ToxoZombie
BioVipers
CyberVipers
Gristle
RedNinjas
Blackstar
Lobotomaxx
RipIt
SubViper
Warwolf
CobraCLAWS
CobraMoray
Carcass
NeoViper
NeoViperCommander
SkullBuster
BlackDragon
BlackOut
Scalpel
BlackDragonNinja
COILCrusher
ElectricEEL
GhostBear
Neurotoxin
RazorTrooper
Razorclaw
SandScorpion
SnowWolf
SwampRat
ShadowStrike
CobraMortal
CobraViperGuard
CoilTrooper
Gallows
GrimSkull
Guillotine
Hotwire
Munitia
BlackMajor
RedShadows
RedTorches
